time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-20T07:00,28.4,59,15.7,Mysuru
2026-08-20T08:00,26.7,68,17.6,Mysuru
2026-08-20T09:00,28.7,58,15.9,Mysuru
2026-08-20T10:00,28.8,55,17.5,Mysuru
2026-08-20T11:00,27.3,59,20.3,Mysuru
2026-08-20T12:00,26.1,66,19.5,Mysuru
2026-08-20T13:00,24.6,74,17.5,Mysuru
2026-08-20T14:00,23.7,79,18.0,Mysuru
2026-08-20T15:00,22.9,81,17.6,Mysuru
2026-08-20T16:00,22.2,85,16.6,Mysuru
2026-08-20T17:00,21.7,88,14.4,Mysuru
2026-08-20T18:00,21.3,90,13.8,Mysuru
2026-08-20T19:00,20.9,92,13.8,Mysuru
2026-08-20T20:00,20.5,94,12.9,Mysuru
2026-08-20T21:00,20.7,92,13.3,Mysuru
2026-08-20T22:00,21.0,90,12.8,Mysuru
2026-08-20T23:00,21.1,89,11.8,Mysuru
2026-08-21T00:00,20.5,93,11.4,Mysuru
2026-08-21T01:00,20.1,95,12.7,Mysuru
2026-08-21T02:00,21.5,86,16.5,Mysuru
2026-08-21T03:00,22.9,77,18.0,Mysuru
2026-08-21T04:00,24.8,68,18.7,Mysuru
2026-08-21T05:00,26.2,62,18.6,Mysuru
2026-08-21T06:00,28.2,54,19.8,Mysuru
2026-08-21T07:00,28.6,52,19.3,Mysuru
2026-08-21T08:00,29.3,49,20.7,Mysuru
2026-08-21T09:00,29.0,49,20.9,Mysuru
2026-08-21T10:00,28.8,51,22.5,Mysuru
2026-08-21T11:00,28.1,52,24.0,Mysuru
2026-08-21T12:00,26.1,63,21.8,Mysuru
2026-08-21T13:00,24.6,70,20.2,Mysuru
2026-08-21T14:00,23.2,77,17.9,Mysuru
2026-08-21T15:00,22.0,82,18.0,Mysuru
2026-08-21T16:00,21.1,88,17.1,Mysuru
2026-08-21T17:00,20.8,91,15.9,Mysuru
2026-08-21T18:00,20.7,92,16.3,Mysuru
2026-08-21T19:00,20.9,91,15.0,Mysuru
2026-08-21T20:00,21.2,90,15.0,Mysuru
2026-08-21T21:00,21.2,90,15.5,Mysuru
2026-08-21T22:00,21.1,90,15.0,Mysuru
2026-08-21T23:00,21.5,89,15.0,Mysuru
2026-08-22T00:00,21.5,89,14.6,Mysuru
2026-08-22T01:00,21.6,89,15.6,Mysuru
2026-08-22T02:00,22.0,87,15.6,Mysuru
2026-08-22T03:00,23.6,78,19.0,Mysuru
2026-08-22T04:00,24.9,71,20.3,Mysuru
2026-08-22T05:00,25.2,70,19.0,Mysuru
2026-08-22T06:00,27.3,64,20.9,Mysuru
2026-08-22T07:00,28.5,58,21.1,Mysuru
2026-08-22T08:00,29.5,53,21.6,Mysuru
2026-08-22T09:00,29.3,52,23.4,Mysuru
2026-08-22T10:00,29.0,52,22.3,Mysuru
2026-08-22T11:00,27.9,55,22.5,Mysuru
2026-08-22T12:00,26.2,65,21.6,Mysuru
2026-08-22T13:00,24.5,75,20.8,Mysuru
2026-08-22T14:00,23.0,83,17.1,Mysuru
2026-08-22T15:00,22.3,86,15.5,Mysuru
2026-08-22T16:00,21.9,88,14.5,Mysuru
2026-08-22T17:00,21.6,90,12.7,Mysuru
2026-08-22T18:00,21.4,90,13.6,Mysuru
2026-08-22T19:00,21.2,91,15.3,Mysuru
2026-08-22T20:00,20.9,92,14.3,Mysuru
2026-08-22T21:00,20.9,92,14.7,Mysuru
2026-08-22T22:00,21.1,90,13.9,Mysuru
2026-08-22T23:00,21.3,89,14.0,Mysuru
2026-08-23T00:00,21.2,90,13.9,Mysuru
2026-08-23T01:00,21.2,90,14.0,Mysuru
2026-08-23T02:00,22.3,84,15.7,Mysuru
2026-08-23T03:00,23.8,77,19.5,Mysuru
2026-08-23T04:00,25.4,69,19.3,Mysuru
2026-08-23T05:00,26.1,66,19.7,Mysuru
2026-08-23T06:00,27.9,60,19.4,Mysuru
2026-08-23T07:00,28.4,60,20.8,Mysuru
2026-08-23T08:00,28.7,57,21.3,Mysuru
2026-08-23T09:00,27.5,65,22.3,Mysuru
2026-08-23T10:00,27.4,65,23.6,Mysuru
2026-08-23T11:00,25.8,70,23.6,Mysuru
2026-08-23T12:00,25.5,70,22.4,Mysuru
2026-08-23T13:00,23.7,81,20.1,Mysuru
2026-08-23T14:00,23.0,85,17.8,Mysuru
2026-08-23T15:00,22.4,87,16.6,Mysuru
2026-08-23T16:00,21.8,90,15.4,Mysuru
